
Frage,Antwort
Was bedeutet FTE (Full-Time Equivalent)?,"Full-Time Equivalent – Maß zur Umrechnung von Teilzeit- in Vollzeitkräfte, um Arbeitsleistung vergleichbar zu machen."
Warum wird in FTE gerechnet und nicht in Kopfzahlen?,FTE berücksichtigt tatsächliche Arbeitsleistung und vermeidet Verzerrungen durch Teilzeit oder Abwesenheiten.
Welche unternehmensexternen Faktoren beeinflussen den Personalbedarf (Folie 50)?,"Gesamtwirtschaft, Marktstruktur, Gesetzgebung, Tarifverträge, technologische Veränderungen."
Welche unternehmensinternen Faktoren beeinflussen den Personalbedarf (Folie 50)?,"Absatzmenge, Organisation, Produktivität, Fehlzeiten, Fluktuation, Arbeitszeitmodelle, Mitarbeiterinteressen."
Was sind autonome Personalveränderungen (Folie 51)?,"Von außen oder vom Mitarbeitenden selbst ausgelöst (z. B. Ruhestand, Krankheit, Kündigung)."
Was sind initiierte Personalveränderungen (Folie 51)?,"Vom Unternehmen aktiv gesteuert (z. B. Einstellung, Entlassung, Beförderung, Versetzung)."
Was ist der Unterschied zwischen internen und externen Personalveränderungen (Folie 51)?,Intern = Veränderungen innerhalb des Unternehmens; Extern = Zu- oder Abgänge von außen.
Warum trennt man interne und externe Personalveränderungen in der HR-Planung?,"Weil interne Veränderungen steuerbar und nachhaltiger sind, externe dagegen schneller, aber kostenintensiver."
Welche strategische Bedeutung haben Personalveränderungen für HRM?,Sie zeigen Dynamik und Anpassungsfähigkeit der Organisation – HR muss darauf reagieren.
Was ist das Ziel der quantitativen Personalbedarfsplanung (Folie 52)?,Bestimmung der benötigten Mitarbeiteranzahl zu einem bestimmten Zeitpunkt.
"Wie wird der Personalbedarf grundsätzlich berechnet (konzeptionell, ohne Zahlen)?",Durch Soll-Ist-Vergleich zwischen geplantem und vorhandenem Personalbestand (FTE).
Welche Einflussfaktoren bestimmen die quantitative Planung?,"Absatzplanung, Produktivität, Technik, Fehlzeiten, Fluktuation, Arbeitszeitmodelle."
Warum ist die quantitative Personalbedarfsplanung Grundlage aller weiteren HR-Maßnahmen?,"Sie liefert die Basis für Personalbeschaffung, -entwicklung und -freisetzung."
Wie hängt die quantitative Planung mit dem Employer Branding und der Personalbeschaffung zusammen?,"Sie zeigt, wie Zahlen (quantitative Planung) und Image (Employer Branding) zusammenwirken – bedarfsorientiertes Recruiting."
